x,M1,M2,M3
2.47,2.9160012113304252,4.915980127347107,6.915980075928355
2.48,2.917130305932091,4.917110289045276,6.917110241482108
2.49,2.9182436562447456,4.918224652477386,6.9182246084807595
2.5,2.919341496284793,4.919323454387879,6.91932341369041
2.51,2.9204240562346584,4.920406927549507,6.920406889903856
2.52,2.9214915625136326,4.92147530084113,6.9214752660184935
2.53,2.922544237847264,4.922528799323678,6.922528767112402
2.54,2.92358230133531,4.923567644314381,6.923567614518676
2.55,2.9246059685183026,4.9245920534592615,6.924592025898012
2.56,2.9256154514427415,4.925602240803979,6.9256022153096515
2.57,2.926610958724945,4.926598416863051,6.926598393280663
2.58,2.9275926956136074,4.927580788687484,6.927580766873679
2.59,2.928560864051059,4.928549559930881,6.928549539753042
2.6,2.929515662733289,4.929504930914059,6.929504912249516
2.61,2.9304572871687373,4.930447098688187,6.930447081423463
2.62,2.931385929735889,4.93137625709654,6.9313762411266655
2.63,2.932301779739704,4.932292596834848,6.932292582062724
2.64,2.93320502346689,4.9331963055103065,6.933196291846117
2.65,2.9340958442400678,4.934087567699297,6.9340875550599534
2.66,2.9349744224708307,4.934966565003805,6.934966553312455
2.67,2.9358409357117408,4.935833476106614,6.935833465292164
2.68,2.936695558707269,4.936688476825295,6.936688466821983
2.69,2.9375384634437163,4.937531740164996,6.937531730911989
2.7,2.9383698191981265,4.9383634363701105,6.9383634278111375
2.71,2.939189792586225,4.9391837329748,6.939183725057813
2.72,2.939998547609396,4.9399927948524525,6.939992787529304
2.73,2.9407962457007155,4.940790784264058,6.940790777490207
2.74,2.9415830457700753,4.941577860905559,6.941577854639812
2.75,2.942359104248404,4.942354181954184,6.94235417615843
2.76,2.943124575131012,4.943119902113806,6.943119896752797
2.77,2.9438796100200806,4.943875173659332,6.943875168700458
2.78,2.944624358166301,4.944620146480157,6.944620141893258
2.79,2.945358966509708,4.9453549681227145,6.945354963879891
2.8,2.9460835797196916,4.946079783832122,6.946079779907566
2.81,2.9467983402342384,4.946794736592973,6.946794732962815
2.82,2.9475033882983928,4.947499967169266,6.9474999638114205
2.83,2.948198862001973,4.948195614143522,6.948195611037566
2.84,2.9488848973165465,4.948881813955089,6.948881811082126
2.85,2.9495616281316863,4.949558700937649,6.949558698280203
2.86,2.9502291862905263,4.95022640735598,6.9502264048978875
2.87,2.950887701624623,4.950885063441949,6.950885061168253
2.88,2.951537301988145,4.951534797429778,6.9515347953266495
2.89,2.9521781132914016,4.952175735590602,6.952175733645247
2.9,2.952810259533729,4.952808002266327,6.9528080004669075
2.91,2.953433862835742,4.953431719902794,6.953431718238368
2.92,2.9540490434709685,4.954047009082308,6.954047007542743
2.93,2.954655919896877,4.954653988555485,6.954653987131418
